,rodal_0,rodal_1,rodal_2,rodal_3,rodal_4,rodal_5,rodal_6,rodal_7,rodal_8,rodal_9,rodal_10,rodal_11,rodal_12,rodal_13,rodal_14,rodal_15,rodal_16,rodal_17,rodal_18,rodal_19
18,3195.6849792995877,1942.9627026539486,1406.3356143647607,6544.464634534956,802.1911413965161,0.0,728.3688932248815,5419.903552737383,791.9276827266928,621.9521606987446,0.0,6581.0234070693805,2511.6774518323996,6612.853295144149,2366.2883257958897,1601.9303181425023,5179.497867446002,881.0225855606266,6378.578372521404,1223.5186874048547
19,3368.1960364300094,0.0,1476.4292036102793,7000.065925377652,882.9443377153418,0.0,783.3787717318701,5706.975517959281,823.1957866341614,675.1880784696665,0.0,7063.912792138827,2647.35085802406,7053.9517839782,2567.4938092773077,1714.8141955822991,5548.207993041174,943.7198716404205,6749.000585447638,0.0
20,0.0,0.0,1547.697980875425,7465.965974975025,967.0560583365746,0.0,837.2526655879849,5999.4131305300425,854.0105910071746,0.0,0.0,7557.546623021885,0.0,7504.002377848818,2774.7354319743613,1830.5563283436675,0.0,1005.8038915242455,7128.539976773668,0.0
21,0.0,0.0,1620.1251395296517,7941.953858279304,1054.4875743548375,0.0,890.064143957268,6297.144291745442,884.3929825555593,0.0,0.0,8061.6591816893715,0.0,7962.802335487411,2987.8938694059793,1949.1104056596453,0.0,1067.305844221095,7517.134464557386,0.0
22,0.0,0.0,1693.6946046578894,0.0,0.0,0.0,941.8790444371498,6600.100047337136,914.3622667901546,0.0,0.0,8576.002717541505,0.0,0.0,3206.8575521955763,2070.432641575111,0.0,1128.2541610861356,7914.724225026932,0.0
23,0.0,0.0,1768.3909810362534,0.0,0.0,0.0,992.7565717590226,6908.214361045803,943.9363317595261,0.0,0.0,9100.345526271327,0.0,0.0,3431.52184199002,2194.4815477510406,0.0,1188.6748480717904,0.0,0.0
24,0.0,0.0,1844.199506160663,0.0,0.0,0.0,1042.750202903876,7221.423910560085,973.1317905372413,0.0,0.0,9634.470303594018,0.0,0.0,0.0,0.0,0.0,1248.5917745723407,0.0,0.0
25,0.0,0.0,1921.106007713218,0.0,0.0,0.0,1091.9084388388585,7539.667903046715,1001.9641057431371,0.0,0.0,10178.172725345932,0.0,0.0,0.0,0.0,0.0,1308.0269188027553,0.0,0.0
26,0.0,0.0,1999.0968649404049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10731.260215511164,0.0,0.0,0.0,0.0,0.0,1367.000577523532,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
